Name,Outlook
John Ross,"The star of the 2017 NFL combine, the 5-foot-10, 188-pound Ross ran a 4.22 40-yard dash, which beat the previous all-time record of 4.24 (Chris Johnson). Ross is an undersized lid-lifter whose speed and big-play ability led the Bengals to select him in with the ninth-overall pick of April's draft. Ross did a lot more than just catch deep balls during his final season at Washington. In fact, his 11.6 average depth of target is near league average, and he caught a touchdown on 17 of his 81 receptions. Ross may initally struggle for snaps behind A.J. Green, Brandon LaFell and Tyler Boyd, but he'll be utilized as a deep threat, kick returner and ball carrier. "
Cole Beasley,"Beasley posted career highs in targets, receptions and receiving yards last season but was limited to three end zone targets and finished 33rd among wide receivers in fantasy points. His 6.6 average depth of target was sixth lowest at the position, which helped him to a position-best 77 percent catch rate. Beasley's targets were consistent but not nearly high enough, as he handled between four and six targets in 13 of 17 games. Considering his usage in Dallas' run-heavy offense, we've likely seen the 28-year-old's fantasy ceiling. Downgrade him in non-PPR."
James Conner,DeAngelo Williams was fantasy's top-scoring running back during the weeks missed by Le'Veon Bell in both 2015 and 2016. Conner - a 2017 third-round pick - has taken over for Williams as Bell's primary handcuff. He's worth a late-round flier and stash.
Dion Lewis,"A torn ACL suffered midway through the 2015 season cost Lewis all but seven regular-season games last season. He handled 22.0 snaps per game down the stretch, but his contributions were limited by the presence and success of LeGarrette Blount and James White. Lewis racked up 377 yards and no touchdowns on 81 touches, which was a massive drop from the 622 yards and four touchdowns on 85 touches he posted in seven games in 2015. Lewis is only 26 years old, but he's extremely injury-prone and will need to fend off White and newcomers Mike Gillislee and Rex Burkhead for snaps. New England's high-scoring offense makes Lewis a worthwhile draft pick, but he'll be a risky flex play."
Tyler Lockett,"Lockett was a popular breakout target in 2016 fantasy drafts and, although he was a bit over-drafted, the hype surrounding his talent is certainly legitimate. Dealing with a PCL injury during most of the first half of last season, Lockett was limited to one touchdown and two top-30 fantasy weeks on the year. He averaged a healthy 9.3 yards per target (13th) and, Week 17 injury aside, finished the year strongly as a top-35 fantasy wide receiver during Weeks 10-16. Lockett's recovery from a broken fibula and tibia needs to be monitored, but the 24-year-old playmaker will eventually return as one Russell Wilson's top targets in a suddenly pass-first offense. Lockett has the look of a good late-round, post-hype target."
Austin Hooper,"It's rare for a rookie tight end to make a fantasy impact, so it's hardly a surprise that Hooper finished 2016 with only 19 receptions. The Stanford product appeared in 14 games and averaged 27.3 snaps per game. Although Jacob Tamme's shoulder injury forced the team to use a committee at the position, Atlanta tight ends still combined for 788 yards and 10 touchdowns. Hooper is expected to play a much larger role in his second season and will thus be responsible for a hefty share of those looks. The 2016 third-round pick will make for an intriguing late-round flier in Atlanta's high-scoring offense."
J.J. Nelson,"Nelson enjoyed a bit of a breakout during the second half of 2016, but he benefited from quite a few splash plays and caught only 34 passes on the season. After playing sparingly out of the gate, Nelson was nearly an every-down player and racked up 9.7 targets per game during the final three games of the season. His 16.9 average depth target was highest among players targeted at least 50 times, but he caught only 47 percent of the balls thrown his way (fifth worst) and dropped five balls. The 2015 fifth-round pick is extremely undersized at 5-foot-10, 160 pounds, but sports game-breaking 4.26 wheels. Expect him to settle in as a situational deep threat but an unreliable fantasy receiver in 2017."
Jalen Richard,"A relative unknown last spring, Richard went undrafted out of Southern Miss but ended up latching on with Oakland. Operating in a committee with Latavius Murray and DeAndre Washington, Richard carried the ball 83 times for 491 yards and a touchdown. He averaged 5.9 YPC (second), including 2.7 after contact (third). A two-way asset, he ranked top-35 among backs in both rushing and receiving yards on 112 touches. Oakland upgraded from Murray to Marshawn Lynch on early downs, which means Richard is again positioned for nothing more than change-of-pace duties."
Carson Wentz,"Wentz was fairly impressive by rookie quarterback standards, but he was far from a quality fantasy asset.  He posted one top-10 fantasy week, finished 18th or worse 10 times and ended the year 24th at the position, which was lowest among passers who appeared in all 16 games. Wentz completed 62 percent of his passes, but dealt with 31 drops (second most). Wentz's 6.2 yards per attempt was fourth lowest in the league, but his horrendous supporting cast generated 4.8 yards after the catch (seventh lowest). With Alshon Jeffery and Torrey Smith added to a unit that also includes Jordan Matthews and Zach Ertz, Wentz's arsenal is now NFL caliber. He's an obvious candidate for a second-year leap."
Giants D/ST,"The Giants were the biggest riser among D/ST units from 2015 to 2016, jumping 23 spots to fifth. They allowed 284 points (second fewest), intercepted 17 passes (fourth most), racked up 97 passes defensed (second most) and scored four touchdowns (sixth most). The Giants used an extremely impressive free-agent class in order to make the big leap, with Janoris Jenkins, Olivier Vernon and Damon Harrison each playing a pivotal role. Linebacker remains a problem spot, but with the aforementioned trio, as well as Jason Pierre-Paul, Landon Collins, Eli Apple and Dominique Rodgers-Cromartie, this unit is poised for another strong campaign."
Devontae Booker,"Booker began his rookie season as a backup but was vaulted into lead-back duties following a season-ending injury to C.J. Anderson. The fourth-round pick did not perform well. He averaged 3.5 YPC, 1.7 of which came after contact. The jury is far from out on Booker, but he's already 25 years old and will open 2017 behind Anderson and newcomer Jamaal Charles. Booker drew Jeremy Langford comparisons out of Utah as a potential three-down back with a good size/speed profile, but, similar to his comp, his rookie season didn't paint a very optimistic picture."
Allen Hurns,"Hurns was never a good bet to repeat his 10-touchdown 2015 campaign, but regression to the mean aside, poor quarterback play and a hamstring injury derailed his 2016. He had more drops (six) than touchdowns (three) in 11 games, and his 47 percent catch rate was third worst at the position. On the plus side, including only games in which he was active, Hurns has averaged an 18 percent target share during each of his three NFL seasons. Even during Marqise Lee's emergence last season, Hurns remained heavily involved. He averaged 5.7 yards after catch last year (11th). The 6-foot-3 25-year-old is still worth a look late in 2017 drafts."
Eagles D/ST,"The 2016 Eagles started the season with six straight top-10 fantasy weeks, but managed only two during their final 10 games. Philadelphia's D/ST continues to rely heavily on touchdowns, ranking top-three in the category each of the past three seasons. The Eagles ranked near mid-pack in most D/ST-relevant categories and the five touchdowns helped them to a sixth-place finish in fantasy points. The Eagles added Chris Long and Derek Barnett, and upgraded from Bennie Logan to Timmy Jernigan, which only adds to talented defense led by Fletcher Cox, Brandon Graham, Jordan Hicks, Nigel Bradham and Malcolm Jenkins. Cornerback is a massive concern, however, and figures to hold this unit back in 2017."
Eli Manning,"Manning has started 199 consecutive games tracing back to midway through his rookie season in 2004. Despite all that volume, Manning finished better than 10th at the position in fantasy points once during the past decade (2011). In what was a very disappointing 2016 season, he finished 21st for the second time in four years. Despite his receivers generating 5.3 yards after the catch (ninth most), Manning's yards per attempt dipped to 6.7 (ninth lowest). He managed a grand total of two top-10 fantasy weeks. Manning's 2017 prospects are helped by the additions of Brandon Marshall and Evan Engram, but it's hard to trust a 36-year-old quarterback coming off one of his worst seasons in an offense that finished 23rd in touchdowns."
T.J. Yeldon,"Injuries, pedestrian efficiency and a poor offense have been among the variables that have hindered Yeldon from emerging as an NFL feature back. The 2013 second-round pick shared the Jaguars' backfield with Chris Ivory and averaged a measly 3.6 YPC over 130 attempts last season. On the plus side, per Pro Football Focus, Yeldon forced a missed tackle on 0.18 of his attempts, which was seventh best among backs with at least 100 carries. Yeldon also caught 50 passes, which ranked 10th at the position. Yeldon is only 23 years old, but his chances of breaking out in Jacksonville took a major hit when the team selected Leonard Fournette fourth overall in April's draft. He'll be no more than a passing-down complement in 2017 and has little fantasy value."
Charles Sims,"A stint on injured reserve limited Sims to seven games last season, but he returns as the team's primary passing-down back this season. Back in 2015, Sims ranked fourth at the position in receiving yards and caught four touchdowns. He also dominated on the ground, albeit against nickel defenses, averaging 4.9 YPC (eighth). Sims has posted only three top-10 fantasy weeks over the past two years and  loses value in non-PPR formats. With Doug Martin suspended for three games, expect Sims to play a slightly expanded role alongside Jacquizz Rodgers early on."
Carson Palmer,"Following an explosive 2015 campaign, Palmer unsurprisingly came back to earth in 2016, but he was better than he's given credit for. In fact, the Arizona offense averaged 3.0 touchdowns per game, which was sixth highest in the NFL and only a slight step down from 2015 (3.1). Palmer's efficiency was down across the board, but some of that can be traced to John Brown's health issues and Michael Floyd's various struggles. Palmer, now 37, is entering what might be his final NFL season, but with an improved and healthier supporting cast that includes superstar David Johnson, he's a sneaky bet for a top-10 campaign."
Cameron Brate,"Brate spent a few years buried on the Bucs' depth chart after going undrafted in 2014, but he finally got his chance to flourish following last year's release of Austin Seferian-Jenkins. Brate took the opportunity and ran, scoring a position-high eight touchdowns en route to posting the seventh-most fantasy points at the position. Brate offers little as a blocker and after the catch (his 2.6 yards-after-catch average ranked last at the position), but he was kept busy downfield (9.8 average depth of target ranked third) and near the goal line. Following the selection of O.J. Howard in the first round of April's draft, Brate's role will surely be reduced in 2017. He's a fringe TE2."
Wil Lutz,"Lutz went undrafted and came out of nowhere to win the Saints' kicker job last season. He went on to post seven top-10 fantasy weeks and finished seventh at the position in fantasy points. The production can be traced more to volume than effectiveness. The Saints ranked 12th in the league with 34 field goal attempts last season but sit 31st in the category during the past decade (278). Lutz made 28 (or 82.4 percent) of those kicks and all but one of his 50 extra points attempts (second most in the NFL). History suggests Lutz won't handle as many attempts this season, but it's possible the 23-year-old's effectiveness improves in his second season."
Jamaal Williams,Williams is expected to take over for James Starks as the Packers primary No. 2 tailback this season. He'll give Ty Montgomery an occasional break and makes for an intriguing handcuff. 
Breshad Perriman,"Perriman has yet to break out since being selected in the first round of the 2015 draft. A PCL injury cost him his entire rookie campaign, and he was limited to 66 targets last season. Perriman sports an absurd size/speed combo, standing 6-foot-2, 218 pounds with 4.24 wheels. Working as a situational deep threat last season, Perriman posted a 14.0 average depth of target (10th best) but caught only half of his targets (11th worst) and dropped six balls. His 9.1 percent drop rate was worst in the NFL. Perriman is only 23 years old and ticketed for a slightly bigger role behind Mike Wallace and Jeremy Maclin. He has a massive ceiling and is thus worth a late-round flier."
Kenny Golladay,Golladay is the favorite to take over for Anquan Boldin as the Lions' No. 3 wide receiver. The big-bodied (6-4/218) third-round rookie is the Lions biggest receiver and thus likely to be busy near the goal line.
Chris Boswell,"Boswell was fantasy's No. 22 scoring kicker and was limited to three top-10 fantasy weeks last season, but there's reason to expect a lead forward in 2017. An abdomen injury cost him a game, but he connected on 84 percent of his field goal attempts on the season. The 26-year-old has missed one extra point attempt during the past two seasons and was a perfect 36-of-36 in 2016. He never has missed a postseason field goal attempt (15 of 15) and sports an impressive 90.3 conversion rate on his 72 career attempts. He was fantasy's No. 13 kicker while playing only 12 games in 2013. Boswell is a strong bet for a boost in attempts this season and will benefit from a quality Pittsburgh offense."
C.J. Fiedorowicz,"The Texans ranked bottom-three in the NFL in tight end targets in 2014 and 2015, but jumped to second in the category last season. No one benefited more than Fiedorowicz, who more than tripled his previous career-highs in targets, receptions, yardage and touchdowns. He racked up eight end zone targets (seventh-most) and finished 17th at the position in fantasy points. Fiedorowicz's efficiency wasn't very good (five drops, 63 percent catch rate, 6.5 yards per target), but some of that can be blamed on poor quarterback play. Fiedorowicz is a fine TE2 but has little upside with Tom Savage and/or rookie Deshaun Watson under center."
Devin Funchess,"Funchess seemingly entered his second NFL season as a viable threat to Kelvin Benjamin for the team's No. 1 wide receiver gig. It never materialized. The 2015 second-round pick caught only half of his 56 targets, although he averaged 16.1 YPR (eighth) and Cam Newton's accuracy issues led to 28.6 percent of those passes registering as off target (sixth highest). Funchess will now enter the ever-so-important third year of his career at the age of 22 and with the benefit of a 6-foot-4, 225-pound frame. Funchess' pedestrian 2016 campaign is a concern, but he's a candidate for a larger role in 2017."
Will Fuller V,"Fuller's rookie season wasn't particularly impressive, but his 47-630-2 line wasn't terribly far off preseason expectations. Fuller's 13.5 yards per catch was obviously a letdown for a field stretcher with 4.32 wheels who averaged 20.3' at Notre Dame in 2015. The first-round pick's 15.5-yard average depth of target ranked fourth in the NFL, but he was limited to a poor 6.9 yards per target. Fuller was on the field for 92 percent of Houston's pass plays and averaged 6.5 targets per game during the 14 games he was active. Fuller is a candidate for a second-year leap, but Houston's shaky quarterback situation is sure to be a nuisance."
Titans D/ST,"The Titans may be a team on the rise, but their D/ST hasn't posted a finish better than 16th since 2008. That includes a bottom-10 finish each of the past three years. In 2016, Tennessee forced four fumbles (dead last) and allowed 5,720 yards (13th most). The Titans did accrue 40 sacks (sixth most), though. Johnathan Cyprien, Logan Ryan and Adoree' Jackson were acquired during the offseason and fill out a pretty solid secondary. 'Solid' could also be applied to the team's front seven, which includes The Jaguars' D/ST has finished eight of the past nine seasons 21st or worse in fantasy points, which includes a 20th-place finish in 2016. Jurrell Casey, Derrick Morgan and Avery Williamson. Expect, you guessed it, a 'solid' 2017 from this unit."
Caleb Sturgis,"Sturgis beat out Cody Parkey for the Eagles' kicker job last season, and went on to enjoy a breakout 2016 campaign. He attempted 41 field goals (second most in the league) and converted 35 (85.4 percent). Sturgis was terrific from short range, connecting on all 24 attempts under 40 yards. He missed six of 17 tries from 40-plus. He ended up fourth at the position in fantasy points -- the first top-10 finish of his career. Sturgis is a pedestrian -- at best -- talent, and will lose opportunities if Alshon Jeffery and Torrey Smith help the Eagles' offense find the end zone more often in 2017. Sturgis is a good bet to take a step back, and is thus a fringe fantasy starter."
Mohamed Sanu,"The Atlanta offense ranked second in total offense last season, so Sanu's 59-653-4 line is certainly underwhelming, considering he was one of the Falcons' top offseason signings. Limited by his slot role, Sanu's 8.0 average depth of target was near the basement of the league, but he caught 75 percent of his targets (sixth). Sanu has posted one top-10 fantasy week over the past two years and 16 top-30 fantasy weeks in his five-year career. That's not good. Sanu will return as a complementary target and is worth no more than a late-round flier."
Taylor Gabriel,"Getting waived by the Browns is often a bad sign for a player's prospects, but that didn't stop Gabriel from exploding onto the fantasy scene in Atlanta last year. Gabriel was a situational player throughout the year (he was on the field for 51 percent of the pass plays when active), but his targets and, in turn, his production went way up in the second half. Gabriel's best fantasy week was 58th during Weeks 1-7, but he managed six top-30 weeks during his next seven outings. On the year, Gabriel averaged 11.5 yards per target (second) and 7.8 yards after catch (first). Atlanta's offense is going to come back to earth this year, and Gabriel will follow, especially considering he didn't see more than six targets in a single game last year. He's likely to be picked too early in your draft."
Tavon Austin,"Austin exploded for 10 all-purpose touchdowns and finished 27th among wide receivers in fantasy points in 2015 (19th in non-PPR).  Despite playing nearly the same role last year, he scored 52 fewer fantasy points and ended up 53rd (56th in non-PPR) at the position. Austin actually set career highs in receptions and receiving yards last year, but his rushing production plummeted and proved to be the difference. Austin's inefficiencies were also a big issue, as his 4.8 yards-per-target mark ranked dead last among 90 qualified wideouts. He also ranked third in drops (eight). Austin's 2017 prospects will depend on QB Jared Goff's progression and new head coach Sean McVay's ability to maximize his skill set."
Robby Anderson,"Anderson went undrafted out of Temple last season, but quickly latched on with the Jets and made the team after leading the NFL in receiving yards (264) and touchdown receptions (three) during the preseason. Injuries and Chan Gailey's wide-receiver-heavy offense forced the 6-foot-3, 190-pound Anderson into a significant role early on. He was on the field for 90 percent of the team's pass plays from Week 4 on, but was 58th at the position in fantasy points during the span. Anderson's 16.3 average depth of target was second highest in the NFL. Gailey is gone, but so is Brandon Marshall, which leaves Anderson with a shot to earn a starting role. A second-year leap is possible, but New York's shaky quarterback situation figures to be a major roadblock. "
Julius Thomas,"Thomas was a fourth-round pick way back in 2011, but injuries have limited him to 53 (or 47 percent) of 112 possible games. He was traded to Miami during the offseason following a failed two-year stint in Jacksonville in which he missed 11 games and scored a total of nine touchdowns. Thomas ranked in the bottom-five at the position in catch rate and yards per target during both seasons with the Jaguars. In Miami, Thomas is reunited with Adam Gase, who was the offensive coordinator when he scored 12 touchdowns in both 2013 and 2014 with Denver. Thomas turns 29 years old this year and is a terrific athlete, but it's hard to trust one of the most injury-prone players in the league, especially in a run-heavy offense. He's a boom/bust TE2."
Jonathan Williams,"Williams, a fifth-round pick last year, was limited to 83 snaps and carried the ball 27 times for 94 yards and one touchdown as a rookie. Following the departure of Mike Gillislee, Williams is the current favorite to begin the 2017 season as LeSean McCoy's primary handcuff. The Arkansas product won't have standalone value, but could push past 15 carries per game in the event of a McCoy injury. He's a worthwhile late-round flier."
Coby Fleener,"Expectations were sky-high for Fleener after he signed a five-year, $36 million contract with the Saints last offseason. The results did not match the hype. Despite appearing in all 16 games, Fleener found the end zone only three times and ranked 15th at the position in fantasy points. Fleener's 9.6 average depth of target was fifth-highest at the position and his 64 percent catch rate 11th lowest. It's possible the 27-year-old takes a leap forward in his second year with Drew Brees, but he'll need to see more than the 4.9 targets he averaged last season. Fleener is no more than a post-hype flier."
Jared Cook,"Cook joins the Raiders after playing well during his first and only season in Green Bay. The 2009 third-round pick was limited by injury to 10 regular-season games last season. He scored only one touchdown, but stretched the field with a 10.1 average depth of target (second highest among TEs). He also ranked top 10 at the position in yards after catch (4.9) and has ranked top 11 in yards per reception in seven consecutive seasons. Cook is now 30 years old, and, although he's the Oakland tight end to own in fantasy, he'll be hard-pressed to land consistent snaps and targets with blocker Lee Smith and third-year Clive Walford also in the picture."
Evan Engram,"Engram is 6-foot-3, 234 pounds with 10-inch hands and ran a position-best 4.42 40-yard dash at the combine. The 22-year-old is a terrific athlete with exceptional speed and quickness. He will excel as a seam stretcher for the Giants (who selected him No. 23 overall) and with the ball in his hands, but simply won't be asked to block much. Engram's 65 receptions and 926 yards were most among FBS tight ends who attended the combine. During each of coach Ben McAdoo's three seasons with the Giants, at least 19 percent of the team's targets have gone to the tight end. Expect Engram to be on the field often when the Giants are passing this season, which provides him plenty of TE2 appeal."
Antonio Gates,"Gates scored seven touchdowns last season, which was the exact number he needed to tie Tony Gonzalez for most all-time scores at the position. Gates missed two games, but still posted his 13th consecutive top-13 fantasy campaign. Gates will return for a 15th season, but concern about his effectiveness is fair after he posted his lowest catch rate (58 percent) and yards per target (6.0) and highest drop rate (6.6 percent) of the past decade in 2016. Gates is now 37 years old and a sure bet to lose targets with Keenan Allen healthy, Mike Williams in the mix and second-year TE Hunter Henry on the rise."
Chargers D/ST,"The Chargers are on the rise and their defense should be a big part of their emergence in 2017. The unit includes one of the game's best run stuffers in Brandon Mebane, a terrific pass-rushing duo in Joey Bosa and Melvin Ingram, a solid set of linebackers in Jatavis Brown and Denzel Perryman and one of the game's best cornerback duos in Jason Verrett and Casey Hayward. New defensive coordinator Gus Bradley only figures to improve on a unit that finished 10th in fantasy points last season. The Chargers' defense tied for the NFL lead with 18 interceptions, ranked second in tackles for loss (108) and scored five touchdowns in 2016. Expect this young, talented unit to take another step forward in 2017."
Sebastian Janikowski,"Once among the best in the game, Janikowski has settled in as an average kicker during the past few seasons. The average distance of his kicks has dipped in recent years, and his 79.6 percent conversion rate during the past four years ranks last among 33 kickers who have at least 60 attempts during the span. The good news is that Janikowski now benefits from a quality Oakland offense. After three straight seasons finishing outside the top-20 fantasy kickers, Janikowski jumped to 12th last year. He's a borderline starting-caliber fantasy option."
Joe Flacco,"Seemingly out of nowhere, Baltimore decided to roll with one of the league's pass-heaviest offenses last season. It led to Flacco easily posting career highs in pass attempts (672) and passing yards (4,317). Still, Flacco struggled to a 20-to-15 TD/INT mark and finished 20th at the position in fantasy points, his worst finish in a season in which he played 16 games. In fact, his best season-long finish is 10th (2010). Flacco's accuracy was solid last season (15.5 percent off-target rate), but he was very conservative (7.4 average depth of throw) and averaged fewer than 6.8 yards per attempt for the second straight year. He is a back-end QB2 with little upside."
Chris Hogan,"The wide-receiver-needy Patriots signed Hogan as a restricted free agent last offseason. The ex-Bill was on the field for 83 percent of the Patriots' pass plays during the 15 games he was active, but managed to average only 3.6 targets per game. A boom-or-bust producer, Hogan averaged a position-high 12.6 yards per target. He caught 70 percent of his targets (18th) despite a 13.6-yard average depth of target (15th). Targets were obviously already an issue for Hogan, and he's a strong candidate for even fewer in 2017, with Brandin Cooks added to the mix and Rob Gronkowski back to full health. Hogan is more of a handcuff than he is a standalone fantasy asset."
Joe Williams,Williams was hand-picked by Kyle Shanahan in the fourth round of the 2017 NFL draft. He will be in for a big workload in the event of another Carlos Hyde injury and is thus worth a late flier.
Lance Dunbar,"Dunbar heads to Los Angeles after playing sparingly as a passing-down specialist during five years in Dallas. The 27-year-old has never managed more than 21 receptions in a season, but Chris Thompson registered 49 catches playing the same role in Sean McVay's offense last season. Dunbar will struggle for fantasy relevance behind Todd Gurley in an offense that is unlikely to find the end zone much, so he's worth no more than a late-round flier. Downgraded him in non-PPR."
Mike Williams,"Williams was selected by the Chargers with the seventh pick in this year's draft. He caught 98 passes for 1,361 yards and 11 touchdowns during his final season at Clemson. Williams isn't particularly fast, but he's a tough 6-foot-3, 218 pounds and will spend his NFL days making plays on the perimeter. Williams can produce on all levels of the field and will be a go-to weapon near the end zone. The Chargers are loaded with offensive weapons, but Williams is a good bet to see the field often on a team that should score often. He's a solid flex target."
Malcolm Mitchell,"Mitchell was a 2016 fourth-round pick, and, despite barely playing early on, he made a fantasy impact down the stretch. Mitchell handled 15 targets total during Weeks 1-10 before averaging 5.2 per game afterward. The rookie posted four consecutive top-26 fantasy weeks during Weeks 11-14 before seeing his usage dip down the stretch. Mitchell isn't a spectacular athlete but was effective in a small sample of work as a rookie. A second-year leap is possible, but targets will be hard to find following New England's acquisition of Brandin Cooks. Mitchell, who turns 25 this summer, is no more than a late-round lottery ticket."
Marquise Goodwin,"Goodwin was a third-round pick in 2013 and joins San Francisco after spending four years as a situational deep threat in Buffalo. Goodwin posted a 43 percent catch rate (second lowest) last season, although a position-high 37.3 percent of balls thrown his way were off target. That can partially be attributed to his 14.9-yard average depth of target (fifth highest). Goodwin posted two top-10 fantasy weeks but no additional finishes better than 41st. The speedy Goodwin is currently positioned as the 49ers' No. 2 perimeter target opposite Pierre Garcon, but he's a one-trick pony in a bad offense. He has little fantasy appeal in 12-team leagues."
Sam Bradford,"Bradford is giving Alex Smith a run for his money as the league's most-conservative quarterback. Bradford's 6.4 average depth of throw was lowest in the NFL last season and he's ranked near the basement of the league in the category during each of his past three seasons. Bradford made up for some of the conservative play with terrific accuracy last season. He completed an NFL-record 71.6 percent of his throws, was off target on 12 percent (third best) and was intercepted only five times. Bradford's supporting cast is actually pretty solid (Stefon Diggs, Adam Thielen, Kyle Rudolph, Dalvin Cook and potentially Laquon Treadwell), but his conservative play, shaky durability and lack of rushing production will again limit him to fringe QB2 numbers."
Blake Bortles,"Bortles has posted back-to-back top-nine fantasy campaigns, but it's hard to recommend a player who has been so reliant on volume and struggled so badly with efficiency. Compared to his breakout 2015 campaign, Bortles actually attempted 19 more passes in 2016, but threw for 523 fewer yards and tossed 12 fewer touchdowns. He completed 59 percent of his passes for the third straight season (sixth worst), was off target on 19 percent of his throws (ninth worst) and averaged 6.2 yards per attempt (fifth worst). Bortles was a top-10 fantasy quarterback during 63 percent of his starts in 2015, but only 25 percent in 2016. The Jaguars' much-improved defense and the addition of Leonard Fournette is only going to limit Bortles' volume, making him a good bet for a dip in fantasy production in 2017."
Ravens D/ST,"Baltimore's D/ST finished eighth in fantasy points and posted eight top-10 weeks (third most) last season. In addition, the Ravens have topped the NFL in blocked kicks each of the past two seasons (four in 2016). They also were tied for tops in the league in interceptions (18) last season, but ranked in the bottom half of the league in forced fumbles (14) and sacks (31). Baltimore added Tony Jefferson, Brandon Carr and Marlon Humphrey to a now-loaded secondary that already included Jimmy Smith, Eric Weddle and Lardarius Webb. The front seven isn't quite as impressive, but includes talent in the form of C.J. Mosley, Brandon Williams, Tyus Bowser and 34-year-old Terrell Suggs."
Nick Novak,Novak is a solid NFL kicker and a big boost in volume helped him to the ninth-most fantasy points at the position last season. The Texans ranked second in field goal attempts (41) and converted only 44 percent of their red zone visits into touchdowns last season (second lowest in the league). Houston also sits second during the past decade (338) in field goal attempts. Novak's 86.0 percent field goal conversion rate ranks 12th among 42 kickers with at least 60 attempts during the past six years. Novak is a fringe top-12 fantasy kicker.
Chris Conley,"An intriguing 2015 third-round pick as a result of his size and speed combination, Conley has yet to live up to his pedigree. He stands at 6-3, 205 pounds and sports 4.35 wheels. Conley was on the field for 84 percent of the Chiefs' pass plays but handled only 4.1 targets per game in 2016. Conley ended the regular season with the unfortunate distinction of having the most targets (66), receptions (44) and receiving yards (530) among wide receivers who failed to score a single touchdown. Conley is only 24, so there's still hope here, but he will enter 2017 behind Travis Kelce, Jeremy Maclin and Tyreek Hill in terms of priority in the passing game."
Laquon Treadwell,"Treadwell was the consensus top wide receiver in the 2016 NFL draft, and the Vikings scooped him up with the 23rd overall selection. The Ole Miss product never truly got rolling and played a grand total of 76 offensive snaps. The good news is that Treadwell is one of the league's youngest players at 21. He was dominant during his final collegiate season, hauling in 82 passes for 1,153 yards and 11 touchdowns in 13 games. Kyle Rudolph, Stefon Diggs and Adam Thielen will remain big factors in the passing game next season, but Treadwell is a near lock to play a significantly larger role in his second season. He's an obvious post-hype target."
Carlos Henderson,"Henderson was selected by Broncos in the third round of April's draft following a monster 2016 breakout campaign at Louisiana Tech. The 22-year-old registered 1,668 yards and 21 touchdowns from scrimmage while adding 805 yards and a pair of scores on 25 kick returns. Henderson was dominant with the ball in his hands and posted a dominant 11.8 yards per target. Henderson is on the small side (5-foot-11, 199 pounds), but he's fast, quick, versatile and sure-handed. He has experience lining up all over the field and can immediately contribute as a returner and likely as Denver's No. 3 receiver. He's a sneaky late-round target."
Tyler Boyd,"Boyd entered the league as a 21-year-old second-round pick, but injuries and free-agent departures forced him into a hefty rookie-season role. Boyd averaged 44.3 snaps per game but was limited to two top-30 fantasy weeks. In fact, his best outing was 12th in Week 11. The former Pitt star will enter 2017 positioned for a larger target share, but his fantasy value will be capped a bit by his role as a short-area slot receiver. Additionally, A.J. Green, Tyler Eifert, Brandon LaFell and newcomer John Ross figure to work as Andy Dalton's top targets. Boyd is a worthwhile late-round flier in deep PPR leagues."
Terrance Williams,"Williams has been on the field for 84 percent of the Cowboys' pass plays since entering the league via the third round of the 2013 draft. The heavy workload has allowed him only 4.5 targets per game. Williams finished his first three years as a top-52 fantasy receiver but fell to 63rd in Year 1 of the Dak Prescott era. He failed to post a single top-10 fantasy week for the first time in his career and managed only two top-30 weeks. Williams has ranked in the top eight at the position in yards per target during three of his four seasons. Williams signed a four-year extension during the offseason, but he simply doesn't see enough volume to allow consistent fantasy production. "
Jerick McKinnon,"McKinnon is already a quality pass-catching back, but he's an A-plus athlete who averaged 4.9 YPC before a brutal 2016 campaign that can, at least partially, be blamed on brutal play from the offensive line. Of course, McKinnon's fantasy value took a major hit when Minnesota spent a second-round pick on Dalvin Cook during April's draft. McKinnon will get some work as a change-of-pace and passing-down back, but he'll struggle for volume with Cook and Latavius Murray in the mix. The 24-year-old is only worth a late-round flier in PPR leagues."
Brian Hoyer,"Say what you want about Hoyer's inconsistent and erratic play, but he was relatively effective on 200 attempts with Chicago last season. Hoyer threw six TDs and no picks and completed 67 percent of his passes (eighth best). In fact, during the past two seasons, Hoyer has thrown 25 touchdowns and seven interceptions in 569 attempts. He hasn't played enough to generate consistent fantasy production, but he did average an 11th-place weekly finish during four full games last season. Hoyer is the favorite to be under center for San Francisco come Week 1, but the leash will be short and the supporting cast is not very good."
Alex Smith,"The face of conservative quarterback play, Smith has been among the bottom five in average depth of throw during each of the past eight seasons. That includes a 6.7 mark in 2016 that was higher than only Sam Bradford's. Smith's conservative play leads to high completion percentages, low interception totals and lots of post-catch help, but it also severely limits his fantasy production. Smith has never finished a season better than 13th at the position in fantasy points and was 22nd in 2016. Those in two-quarterback leagues shouldn't ignore Smith's shaky durability; he's missed at least one game during four of the past five years. Smith is a fringe QB2 with little upside, and whose leash is shorter than ever after the team traded up to select Patrick Mahomes in April's draft."
Charles Clay,"Clay has finished as a top-18 fantasy tight end each of the past four seasons, but, in three years with the Bills, he simply hasn't been able to match his best season ' an eighth-place finish with Miami in 2013. Durability (six missed games) and drops (a position-high seven last season) are among the culprits. Clay didn't post a single top-12 fantasy week prior to three straight top-six outings during Weeks 14-16 last season. When active, Clay has been on the field for 88 percent of the Bills' snaps and handled 21 percent of the targets in each of the past two seasons. Those are huge numbers for any tight end, though he's a candidate for a reduced role in Buffalo's new-look, Rick Dennison-led offense."
